ano,mes,data,regiao,uf,cidade,bairro,tipo_imovel,area_m2,quartos,vagas_garagem,preco_imovel,preco_m2,renda_media,taxa_juros,nivel_preco
2015,1,2015-01-01,Centro-Oeste,GO,Goiânia,Centro,Sala Comercial,210,2,1,793543.07,17572.1,3320.91,7.88,Alto
2015,1,2015-01-01,Centro-Oeste,GO,Aparecida de Goiânia,Vila Nova,Cobertura,180,0,1,594871.76,6687.13,2552.97,7.38,Luxo
2015,1,2015-01-01,Centro-Oeste,MT,Cuiabá,Centro,Cobertura,156,1,3,1061907.36,6548.66,4292.75,13.8,Médio
2015,1,2015-01-01,Centro-Oeste,MS,Campo Grande,Vila Nova,Studio,42,4,1,606232.04,12950.21,3371.58,12.28,Baixo
2015,1,2015-01-01,Sudeste,SP,São Paulo,Boa Vista,Apartamento,100,3,1,1099847.82,15293.6,3495.93,9.21,Médio
2015,1,2015-01-01,Sudeste,SP,Campinas,Boa Vista,Sala Comercial,104,0,2,1201654.38,13504.42,3691.03,12.8,Médio
2015,1,2015-01-01,Sudeste,SP,Ribeirão Preto,Vila Nova,Sala Comercial,54,4,0,984478.75,17587.24,3139.78,7.08,Médio
2015,1,2015-01-01,Sudeste,RJ,Rio de Janeiro,Jardim América,Casa,74,4,0,93595.32,11755.12,4660.73,8.36,Médio
2015,1,2015-01-01,Sudeste,RJ,Niterói,Centro,Cobertura,140,1,2,711624.92,11564.4,3722.1,11.22,Baixo
2015,1,2015-01-01,Sudeste,RJ,Nova Iguaçu,Vila Nova,Studio,119,4,2,1297725.67,16620.18,5127.89,13.77,Alto
2015,1,2015-01-01,Sudeste,RJ,Petrópolis,Vila Nova,Sala Comercial,194,1,2,1332388.49,11352.4,2975.31,10.6,Baixo
2015,1,2015-01-01,Sudeste,MG,Belo Horizonte,Centro,Cobertura,52,3,3,530286.34,15068.41,2936.17,8.26,Alto
2015,1,2015-01-01,Sudeste,MG,Uberlândia,Boa Vista,Studio,96,0,0,318135.27,8457.71,3502.81,12.73,Médio
2015,1,2015-01-01,Sudeste,MG,Juiz de Fora,Jardim América,Studio,203,0,2,1068837.37,16801.57,3122.76,11.28,Alto
2015,1,2015-01-01,Sudeste,ES,Vitória,Jardim América,Sala Comercial,87,1,3,3288685.04,12703.41,4287.52,10.8,Baixo
2015,1,2015-01-01,Sudeste,ES,Vila Velha,Boa Vista,Apartamento,78,0,2,1693477.22,16850.7,2787.29,13.63,Alto
2015,1,2015-01-01,Sudeste,ES,Serra,Jardim América,Casa,156,1,0,863783.3,8974.27,3859.38,13.45,Médio
2015,1,2015-01-01,Sul,PR,Curitiba,Centro,Apartamento,166,3,3,241934.64,12506.78,4024.06,7.41,Baixo
2015,1,2015-01-01,Sul,PR,Londrina,Jardim América,Apartamento,202,1,1,1286187.85,6646.08,3920.66,8.38,Alto
2015,1,2015-01-01,Sul,SC,Florianópolis,Centro,Cobertura,34,1,0,737767.06,17499.97,3714.8,7.02,Luxo
2015,1,2015-01-01,Sul,SC,Joinville,Jardim América,Apartamento,62,0,2,646730.94,8009.22,3821.06,12.51,Baixo
2015,1,2015-01-01,Sul,RS,Porto Alegre,Jardim América,Cobertura,58,1,2,124476.61,17834.28,2257.16,10.54,Baixo
2015,1,2015-01-01,Sul,RS,Caxias do Sul,Jardim América,Casa,45,3,2,611539.92,10808.05,2523.85,13.99,Médio
2015,2,2015-02-01,Norte,AM,Manaus,Jardim América,Casa,53,4,0,165863.22,13502.37,4154.12,9.42,Alto
2015,2,2015-02-01,Norte,PA,Belém,Boa Vista,Casa,156,0,1,128900.07,10744.64,4134.3,9.95,Luxo
2015,2,2015-02-01,Norte,PA,Santarém,Jardim América,Sala Comercial,90,3,1,1479205.86,12095.77,2930.68,11.12,Alto
2015,2,2015-02-01,Norte,RO,Porto Velho,Centro,Cobertura,145,1,1,418887.85,14652.79,3590.65,13.01,Alto
2015,2,2015-02-01,Norte,TO,Palmas,Centro,Apartamento,158,4,3,1110133.92,4549.86,4671.5,12.29,Baixo
2015,2,2015-02-01,Nordeste,BA,Salvador,Jardim América,Cobertura,41,4,3,471267.35,10242.24,3594.16,11.09,Luxo
2015,2,2015-02-01,Nordeste,BA,Feira de Santana,Centro,Cobertura,31,3,0,319660.87,7066.19,3149.88,12.36,Alto
2015,2,2015-02-01,Nordeste,PE,Recife,Boa Vista,Studio,90,3,3,1029158.23,15907.89,4767.19,11.66,Médio
2015,2,2015-02-01,Nordeste,PE,Jaboatão dos Guararapes,Boa Vista,Sala Comercial,204,0,2,317694.02,3796.8,3400.83,11.15,Baixo
2015,2,2015-02-01,Nordeste,CE,Fortaleza,Centro,Sala Comercial,127,0,0,413415.82,6106.76,3736.24,8.66,Baixo
2015,2,2015-02-01,Nordeste,CE,Juazeiro do Norte,Jardim América,Studio,61,4,0,638852.32,10488.35,4236.17,11.2,Baixo
2015,2,2015-02-01,Nordeste,MA,São Luís,Jardim América,Casa,189,2,0,388479.43,10067.29,2615.8,8.22,Médio
2015,2,2015-02-01,Nordeste,PB,João Pessoa,Boa Vista,Casa,134,4,3,500685.05,4293.93,2967.35,8.93,Luxo
2015,2,2015-02-01,Centro-Oeste,DF,Brasília,Centro,Cobertura,206,4,2,458904.92,17153.26,3941.18,13.74,Baixo
2015,2,2015-02-01,Centro-Oeste,GO,Goiânia,Vila Nova,Studio,63,1,1,253871.96,4835.86,3871.95,8.18,Alto
2015,2,2015-02-01,Centro-Oeste,GO,Aparecida de Goiânia,Vila Nova,Casa,75,2,1,769551.24,16056.64,2716.64,12.07,Baixo
2015,2,2015-02-01,Centro-Oeste,MT,Cuiabá,Jardim América,Apartamento,66,0,2,166897.35,4235.8,3699.73,10.53,Luxo
2015,2,2015-02-01,Centro-Oeste,MS,Campo Grande,Boa Vista,Sala Comercial,132,1,2,1049271.58,7509.29,4564.32,13.62,Alto
2015,2,2015-02-01,Sudeste,SP,São Paulo,Jardim América,Studio,164,3,0,536237.74,16158.0,3854.31,7.12,Médio
2015,2,2015-02-01,Sudeste,SP,Campinas,Centro,Studio,206,4,3,764051.27,12623.18,2824.52,8.18,Alto
2015,2,2015-02-01,Sudeste,SP,Ribeirão Preto,Jardim América,Apartamento,66,4,3,613972.73,10967.67,3706.51,10.73,Luxo
2015,2,2015-02-01,Sudeste,RJ,Rio de Janeiro,Boa Vista,Apartamento,218,1,0,182726.98,8991.7,2676.44,12.52,Luxo
2015,2,2015-02-01,Sudeste,RJ,Niterói,Vila Nova,Sala Comercial,184,2,1,450827.17,11250.78,3373.72,7.16,Luxo
2015,2,2015-02-01,Sudeste,RJ,Nova Iguaçu,Vila Nova,Sala Comercial,89,0,1,1085970.26,10727.62,3743.3,12.48,Médio
2015,2,2015-02-01,Sudeste,RJ,Petrópolis,Jardim América,Cobertura,130,0,1,783323.73,10242.07,3102.22,11.79,Médio
2015,2,2015-02-01,Sudeste,MG,Belo Horizonte,Centro,Studio,184,2,3,191267.13,7441.12,4109.32,9.53,Alto
2015,2,2015-02-01,Sudeste,MG,Uberlândia,Centro,Cobertura,139,3,0,221108.74,13970.67,3605.84,12.77,Baixo
2015,2,2015-02-01,Sudeste,MG,Juiz de Fora,Jardim América,Apartamento,72,3,0,1555495.33,17323.15,3527.44,12.51,Médio
2015,2,2015-02-01,Sudeste,ES,Vitória,Centro,Studio,167,0,2,178605.87,4714.2,3454.06,7.16,Médio
2015,2,2015-02-01,Sudeste,ES,Vila Velha,Centro,Apartamento,203,4,3,1938244.93,11130.82,3316.79,13.22,Baixo
2015,2,2015-02-01,Sudeste,ES,Serra,Boa Vista,Studio,79,2,0,365023.56,10669.63,3298.8,8.84,Médio
2015,2,2015-02-01,Sul,PR,Curitiba,Boa Vista,Sala Comercial,95,1,3,632862.96,16518.18,4284.35,7.02,Alto
2015,2,2015-02-01,Sul,PR,Londrina,Boa Vista,Sala Comercial,73,2,2,207443.64,5773.48,3915.53,12.31,Baixo
2015,2,2015-02-01,Sul,SC,Florianópolis,Jardim América,Casa,188,0,0,736125.02,6625.07,3725.95,11.75,Alto
2015,2,2015-02-01,Sul,SC,Joinville,Centro,Studio,181,4,1,672514.83,15168.01,2924.67,7.95,Médio
2015,2,2015-02-01,Sul,RS,Porto Alegre,Boa Vista,Cobertura,55,3,0,619201.7,5641.65,3552.07,13.62,Alto
2015,2,2015-02-01,Sul,RS,Caxias do Sul,Centro,Casa,146,0,1,944976.27,11812.34,4172.69,11.99,Baixo
2015,3,2015-03-01,Norte,AM,Manaus,Vila Nova,Apartamento,126,1,1,278569.3,8501.93,3678.17,11.11,Médio
2015,3,2015-03-01,Norte,PA,Belém,Boa Vista,Casa,132,2,1,349674.18,12039.82,4016.54,10.12,Baixo
2015,3,2015-03-01,Norte,PA,Santarém,Vila Nova,Sala Comercial,32,1,0,756009.56,13642.16,2583.43,11.07,Médio
2015,3,2015-03-01,Norte,RO,Porto Velho,Vila Nova,Sala Comercial,49,3,3,156756.84,10232.69,2807.41,13.97,Baixo
2015,3,2015-03-01,Norte,TO,Palmas,Jardim América,Cobertura,83,0,2,1159885.56,3588.45,4858.84,12.6,Luxo
2015,3,2015-03-01,Nordeste,BA,Salvador,Jardim América,Cobertura,194,3,1,730764.72,8953.49,2383.48,7.44,Médio
2015,3,2015-03-01,Nordeste,BA,Feira de Santana,Vila Nova,Casa,80,2,2,669476.75,4816.98,3596.39,10.6,Alto
2015,3,2015-03-01,Nordeste,PE,Recife,Boa Vista,Cobertura,77,4,3,476244.44,16097.97,3518.89,8.92,Baixo
2015,3,2015-03-01,Nordeste,PE,Jaboatão dos Guararapes,Boa Vista,Apartamento,31,4,1,356884.6,10662.17,4096.74,7.86,Baixo
2015,3,2015-03-01,Nordeste,CE,Fortaleza,Boa Vista,Sala Comercial,164,1,1,568249.23,16517.78,3094.69,13.89,Médio
2015,3,2015-03-01,Nordeste,CE,Juazeiro do Norte,Centro,Studio,63,1,3,384780.33,9115.98,3869.87,11.19,Baixo
2015,3,2015-03-01,Nordeste,MA,São Luís,Boa Vista,Studio,152,0,2,241507.5,12586.97,2716.82,12.38,Médio
2015,3,2015-03-01,Nordeste,PB,João Pessoa,Jardim América,Studio,98,1,1,1874534.7,8196.97,2508.02,11.56,Baixo
2015,3,2015-03-01,Centro-Oeste,DF,Brasília,Jardim América,Apartamento,186,3,2,447611.66,6964.3,3778.42,11.98,Luxo
2015,3,2015-03-01,Centro-Oeste,GO,Goiânia,Vila Nova,Cobertura,102,4,1,775269.39,12377.77,2822.67,11.31,Baixo
2015,3,2015-03-01,Centro-Oeste,GO,Aparecida de Goiânia,Vila Nova,Sala Comercial,48,2,2,1117963.21,14162.01,2440.73,13.7,Alto
2015,3,2015-03-01,Centro-Oeste,MT,Cuiabá,Vila Nova,Casa,77,4,1,191921.49,9876.87,3771.78,7.16,Alto
2015,3,2015-03-01,Centro-Oeste,MS,Campo Grande,Centro,Casa,92,1,0,178351.76,13965.57,2286.87,12.99,Médio
2015,3,2015-03-01,Sudeste,SP,São Paulo,Jardim América,Sala Comercial,157,1,0,1242626.76,8522.32,4815.91,12.42,Luxo
2015,3,2015-03-01,Sudeste,SP,Campinas,Vila Nova,Casa,206,4,3,996815.43,3861.63,4204.99,9.7,Alto
2015,3,2015-03-01,Sudeste,SP,Ribeirão Preto,Jardim América,Apartamento,93,2,3,710581.92,12281.93,3201.35,13.77,Médio
2015,3,2015-03-01,Sudeste,RJ,Rio de Janeiro,Vila Nova,Cobertura,103,4,3,689593.58,16948.86,2210.54,11.87,Luxo
2015,3,2015-03-01,Sudeste,RJ,Niterói,Centro,Sala Comercial,184,0,3,930378.08,7250.96,3846.44,7.4,Luxo
2015,3,2015-03-01,Sudeste,RJ,Nova Iguaçu,Vila Nova,Cobertura,48,2,0,279340.04,11152.39,3780.37,10.71,Médio
2015,3,2015-03-01,Sudeste,RJ,Petrópolis,Jardim América,Casa,54,3,1,1010334.04,16552.95,4202.53,8.78,Baixo
2015,3,2015-03-01,Sudeste,MG,Belo Horizonte,Centro,Casa,179,0,3,920098.55,17126.82,3504.43,9.85,Médio
2015,3,2015-03-01,Sudeste,MG,Uberlândia,Jardim América,Studio,75,2,2,858925.36,8455.72,3309.62,12.05,Baixo
2015,3,2015-03-01,Sudeste,MG,Juiz de Fora,Vila Nova,Cobertura,35,4,1,346940.17,7844.63,4533.35,11.73,Médio
2015,3,2015-03-01,Sudeste,ES,Vitória,Vila Nova,Cobertura,205,4,3,283708.37,15757.48,4721.81,11.9,Luxo
2015,3,2015-03-01,Sudeste,ES,Vila Velha,Jardim América,Sala Comercial,217,2,0,487866.05,17930.39,3016.21,10.15,Alto
2015,3,2015-03-01,Sudeste,ES,Serra,Boa Vista,Cobertura,185,3,1,964492.45,17779.37,3133.91,7.94,Médio
2015,3,2015-03-01,Sul,PR,Curitiba,Jardim América,Sala Comercial,132,0,2,441251.01,17911.58,2658.94,11.18,Baixo
2015,3,2015-03-01,Sul,PR,Londrina,Jardim América,Casa,50,4,0,477091.01,16471.52,4395.52,8.6,Baixo
2015,3,2015-03-01,Sul,SC,Florianópolis,Centro,Cobertura,209,2,3,946922.75,5652.73,3399.5,9.03,Alto
2015,3,2015-03-01,Sul,SC,Joinville,Jardim América,Studio,43,3,0,615203.65,8634.41,2742.96,13.72,Alto
2015,3,2015-03-01,Sul,RS,Porto Alegre,Vila Nova,Apartamento,36,2,0,953834.49,11495.01,3920.05,9.62,Médio
2015,3,2015-03-01,Sul,RS,Caxias do Sul,Centro,Studio,98,1,1,346046.41,17977.07,4044.02,8.41,Baixo
2015,4,2015-04-01,Norte,AM,Manaus,Jardim América,Studio,139,1,1,1257390.56,4272.45,3785.87,13.01,Alto
2015,4,2015-04-01,Norte,PA,Belém,Jardim América,Studio,205,3,2,1976499.44,13873.76,2862.05,8.15,Médio
2015,4,2015-04-01,Norte,PA,Santarém,Centro,Studio,37,2,0,1862961.19,16612.83,2576.18,9.23,Luxo
2015,4,2015-04-01,Norte,RO,Porto Velho,Jardim América,Casa,64,0,2,759774.2,10431.31,3073.03,11.27,Baixo
2015,4,2015-04-01,Norte,TO,Palmas,Boa Vista,Casa,139,2,2,299386.47,17232.02,4379.57,9.09,Baixo
2015,4,2015-04-01,Nordeste,BA,Salvador,Centro,Cobertura,168,3,3,551897.62,9972.87,3690.73,8.03,Baixo
2015,4,2015-04-01,Nordeste,BA,Feira de Santana,Boa Vista,Studio,201,0,0,1787055.76,8251.02,3351.62,7.7,Luxo
2015,4,2015-04-01,Nordeste,PE,Recife,Vila Nova,Casa,44,2,0,356931.6,9511.0,4422.65,9.24,Baixo
2015,4,2015-04-01,Nordeste,PE,Jaboatão dos Guararapes,Boa Vista,Sala Comercial,69,4,3,471378.81,9841.21,3556.87,13.66,Luxo
2015,4,2015-04-01,Nordeste,CE,Fortaleza,Jardim América,Sala Comercial,141,3,2,243284.03,11333.45,3324.19,7.61,Alto
2015,4,2015-04-01,Nordeste,CE,Juazeiro do Norte,Centro,Studio,102,4,0,481460.06,4994.91,3706.76,11.84,Alto
2015,4,2015-04-01,Nordeste,MA,São Luís,Vila Nova,Casa,34,0,2,358910.68,9173.01,4277.06,12.23,Luxo
2015,4,2015-04-01,Nordeste,PB,João Pessoa,Centro,Cobertura,125,1,3,546680.26,10374.88,3422.45,10.92,Luxo
2015,4,2015-04-01,Centro-Oeste,DF,Brasília,Vila Nova,Sala Comercial,53,4,2,1072405.6,5461.35,3954.38,7.94,Luxo
2015,4,2015-04-01,Centro-Oeste,GO,Goiânia,Jardim América,Apartamento,202,4,2,349278.27,9796.44,3305.49,12.2,Médio
2015,4,2015-04-01,Centro-Oeste,GO,Aparecida de Goiânia,Jardim América,Sala Comercial,89,4,3,579651.26,4350.78,3652.66,9.11,Alto
2015,4,2015-04-01,Centro-Oeste,MT,Cuiabá,Centro,Studio,44,2,1,754240.39,10982.96,4498.78,8.39,Baixo
2015,4,2015-04-01,Centro-Oeste,MS,Campo Grande,Centro,Sala Comercial,109,2,3,3323439.09,16784.12,3163.46,11.04,Luxo
2015,4,2015-04-01,Sudeste,SP,São Paulo,Jardim América,Cobertura,91,3,3,740106.96,5238.84,3510.09,12.85,Médio
2015,4,2015-04-01,Sudeste,SP,Campinas,Jardim América,Studio,76,0,0,348784.48,17880.4,3449.36,12.45,Luxo
2015,4,2015-04-01,Sudeste,SP,Ribeirão Preto,Jardim América,Apartamento,160,0,3,315247.13,4573.09,3579.21,13.15,Alto
2015,4,2015-04-01,Sudeste,RJ,Rio de Janeiro,Vila Nova,Apartamento,193,1,0,1005996.19,6717.48,3291.94,9.71,Médio
2015,4,2015-04-01,Sudeste,RJ,Niterói,Jardim América,Cobertura,211,1,0,468135.2,7249.93,3882.94,10.09,Luxo
2015,4,2015-04-01,Sudeste,RJ,Nova Iguaçu,Boa Vista,Sala Comercial,162,0,2,1004737.67,14376.36,4552.23,11.59,Luxo
2015,4,2015-04-01,Sudeste,RJ,Petrópolis,Jardim América,Sala Comercial,98,3,0,324050.84,3646.8,3882.28,13.33,Luxo
2015,4,2015-04-01,Sudeste,MG,Belo Horizonte,Vila Nova,Cobertura,37,4,1,676262.17,13582.85,3868.12,9.0,Baixo
2015,4,2015-04-01,Sudeste,MG,Uberlândia,Boa Vista,Apartamento,146,3,1,1142250.95,10282.57,3277.2,13.72,Luxo
2015,4,2015-04-01,Sudeste,MG,Juiz de Fora,Jardim América,Casa,161,4,3,624023.24,14736.75,3643.63,7.16,Luxo
2015,4,2015-04-01,Sudeste,ES,Vitória,Boa Vista,Apartamento,117,2,1,485265.32,9917.57,3197.42,13.73,Médio
2015,4,2015-04-01,Sudeste,ES,Vila Velha,Centro,Sala Comercial,139,4,0,384381.71,14391.91,4423.86,10.76,Alto
2015,4,2015-04-01,Sudeste,ES,Serra,Jardim América,Sala Comercial,44,4,3,1004398.67,5855.33,3774.76,9.83,Baixo
2015,4,2015-04-01,Sul,PR,Curitiba,Boa Vista,Sala Comercial,166,0,2,985714.43,7205.09,3096.52,13.41,Baixo
2015,4,2015-04-01,Sul,PR,Londrina,Centro,Casa,171,1,0,648131.16,13093.93,3242.9,13.03,Alto
2015,4,2015-04-01,Sul,SC,Florianópolis,Boa Vista,Apartamento,184,2,2,483999.25,13981.34,4054.54,10.37,Baixo
2015,4,2015-04-01,Sul,SC,Joinville,Vila Nova,Apartamento,119,0,0,1171410.74,11893.81,1354.67,7.11,Alto
2015,4,2015-04-01,Sul,RS,Porto Alegre,Jardim América,Sala Comercial,174,3,2,704861.9,15499.37,2103.35,9.54,Alto
2015,4,2015-04-01,Sul,RS,Caxias do Sul,Boa Vista,Cobertura,93,2,1,1024906.3,11760.33,2990.28,9.7,Luxo
2015,5,2015-05-01,Norte,AM,Manaus,Jardim América,Casa,116,0,3,209906.11,13996.22,3088.94,10.0,Baixo
2015,5,2015-05-01,Norte,PA,Belém,Vila Nova,Apartamento,211,3,2,1508685.17,9198.81,3014.7,8.64,Baixo
2015,5,2015-05-01,Norte,PA,Santarém,Jardim América,Cobertura,108,3,1,1835407.69,12407.34,2713.53,12.33,Médio
2015,5,2015-05-01,Norte,RO,Porto Velho,Centro,Sala Comercial,177,0,0,500118.9,17776.21,3335.41,8.03,Médio
2015,5,2015-05-01,Norte,TO,Palmas,Jardim América,Cobertura,73,3,2,2254657.44,15772.47,3166.89,12.31,Alto
2015,5,2015-05-01,Nordeste,BA,Salvador,Vila Nova,Studio,204,0,0,322475.27,10776.33,3486.33,8.2,Baixo
2015,5,2015-05-01,Nordeste,BA,Feira de Santana,Jardim América,Sala Comercial,134,3,2,552387.79,11744.63,3035.06,7.92,Médio
2015,5,2015-05-01,Nordeste,PE,Recife,Jardim América,Studio,89,1,3,411801.35,8029.5,4639.35,8.88,Baixo
2015,5,2015-05-01,Nordeste,PE,Jaboatão dos Guararapes,Boa Vista,Sala Comercial,177,3,3,189080.13,3893.86,3879.93,8.63,Médio
2015,5,2015-05-01,Nordeste,CE,Fortaleza,Boa Vista,Casa,41,1,3,153633.06,7761.43,2385.29,7.52,Alto
2015,5,2015-05-01,Nordeste,CE,Juazeiro do Norte,Jardim América,Casa,108,4,0,558116.42,4255.32,4826.82,13.53,Alto
2015,5,2015-05-01,Nordeste,MA,São Luís,Jardim América,Studio,50,1,3,653237.33,16878.52,3761.53,7.55,Alto
2015,5,2015-05-01,Nordeste,PB,João Pessoa,Jardim América,Casa,145,4,0,206608.34,8525.54,4062.14,12.18,Baixo
2015,5,2015-05-01,Centro-Oeste,DF,Brasília,Jardim América,Sala Comercial,55,1,0,283717.74,5279.5,5370.67,8.78,Alto
2015,5,2015-05-01,Centro-Oeste,GO,Goiânia,Centro,Cobertura,136,1,1,1153334.7,14287.74,2758.88,7.92,Alto
2015,5,2015-05-01,Centro-Oeste,GO,Aparecida de Goiânia,Vila Nova,Sala Comercial,55,1,1,249014.67,10994.79,2487.28,7.65,Médio
2015,5,2015-05-01,Centro-Oeste,MT,Cuiabá,Boa Vista,Cobertura,184,1,1,787030.91,4614.23,3442.9,13.08,Médio
2015,5,2015-05-01,Centro-Oeste,MS,Campo Grande,Jardim América,Apartamento,176,0,0,931113.07,17211.36,3313.78,12.36,Médio
2015,5,2015-05-01,Sudeste,SP,São Paulo,Vila Nova,Cobertura,90,1,0,1026097.45,13880.39,3364.38,13.45,Alto
2015,5,2015-05-01,Sudeste,SP,Campinas,Centro,Sala Comercial,181,0,1,889083.07,8150.88,3784.41,13.65,Luxo
2015,5,2015-05-01,Sudeste,SP,Ribeirão Preto,Jardim América,Cobertura,38,1,2,332193.88,15261.86,4801.07,7.59,Alto
2015,5,2015-05-01,Sudeste,RJ,Rio de Janeiro,Jardim América,Apartamento,104,2,3,472666.62,8730.73,3222.73,9.66,Alto
2015,5,2015-05-01,Sudeste,RJ,Niterói,Jardim América,Casa,193,1,1,542600.9,16064.98,4078.46,10.63,Baixo
2015,5,2015-05-01,Sudeste,RJ,Nova Iguaçu,Jardim América,Studio,115,2,2,363770.49,10173.36,2572.68,11.99,Alto
2015,5,2015-05-01,Sudeste,RJ,Petrópolis,Centro,Casa,104,0,0,299205.56,14091.8,1372.58,11.23,Baixo
2015,5,2015-05-01,Sudeste,MG,Belo Horizonte,Vila Nova,Studio,32,3,3,581412.58,11117.05,4507.49,7.6,Luxo
2015,5,2015-05-01,Sudeste,MG,Uberlândia,Centro,Cobertura,122,0,1,377687.88,4447.81,3504.01,7.54,Baixo
2015,5,2015-05-01,Sudeste,MG,Juiz de Fora,Centro,Apartamento,218,3,1,863862.3,16787.61,3376.49,12.4,Alto
2015,5,2015-05-01,Sudeste,ES,Vitória,Boa Vista,Casa,94,2,0,358785.7,8047.53,2528.7,9.43,Baixo
2015,5,2015-05-01,Sudeste,ES,Vila Velha,Centro,Apartamento,174,1,3,527577.49,11812.46,2810.83,11.47,Luxo
2015,5,2015-05-01,Sudeste,ES,Serra,Jardim América,Sala Comercial,58,0,1,166460.71,13159.82,2827.52,12.85,Luxo
2015,5,2015-05-01,Sul,PR,Curitiba,Jardim América,Cobertura,143,0,1,524232.8,12549.82,1981.24,10.86,Médio
2015,5,2015-05-01,Sul,PR,Londrina,Jardim América,Apartamento,40,4,2,1527100.76,14172.64,3139.98,11.58,Baixo
2015,5,2015-05-01,Sul,SC,Florianópolis,Vila Nova,Studio,186,2,0,815579.73,11074.17,4003.82,9.03,Luxo
2015,5,2015-05-01,Sul,SC,Joinville,Jardim América,Sala Comercial,185,1,2,630627.23,10838.24,4456.78,10.53,Médio
2015,5,2015-05-01,Sul,RS,Porto Alegre,Centro,Apartamento,102,1,1,740276.23,16841.39,2627.04,9.87,Luxo
2015,5,2015-05-01,Sul,RS,Caxias do Sul,Vila Nova,Cobertura,63,3,0,135623.89,7633.86,3586.2,10.67,Baixo
2015,6,2015-06-01,Norte,AM,Manaus,Vila Nova,Sala Comercial,74,1,3,363569.94,13305.03,3178.63,7.03,Alto
2015,6,2015-06-01,Norte,PA,Belém,Centro,Casa,85,1,3,499726.12,9980.76,3051.29,9.82,Médio
2015,6,2015-06-01,Norte,PA,Santarém,Jardim América,Cobertura,132,1,0,1169298.57,12191.91,3588.99,10.06,Alto
2015,6,2015-06-01,Norte,RO,Porto Velho,Vila Nova,Apartamento,92,4,1,370634.05,12586.53,4162.14,12.47,Alto
2015,6,2015-06-01,Norte,TO,Palmas,Centro,Apartamento,111,0,0,544619.46,3744.69,4144.93,10.25,Alto
2015,6,2015-06-01,Nordeste,BA,Salvador,Vila Nova,Casa,111,3,1,460265.14,8472.87,4722.61,9.03,Alto
2015,6,2015-06-01,Nordeste,BA,Feira de Santana,Boa Vista,Studio,200,4,2,832551.49,3579.84,3873.14,12.34,Alto
2015,6,2015-06-01,Nordeste,PE,Recife,Vila Nova,Apartamento,149,4,0,790749.12,15917.0,3273.3,11.28,Médio
2015,6,2015-06-01,Nordeste,PE,Jaboatão dos Guararapes,Boa Vista,Cobertura,72,0,0,125385.4,4862.15,3228.38,12.6,Luxo
2015,6,2015-06-01,Nordeste,CE,Fortaleza,Vila Nova,Apartamento,33,1,2,991769.18,6857.72,2965.66,8.1,Baixo
2015,6,2015-06-01,Nordeste,CE,Juazeiro do Norte,Centro,Studio,184,1,2,286787.29,4943.22,3646.32,12.9,Alto
2015,6,2015-06-01,Nordeste,MA,São Luís,Vila Nova,Apartamento,92,4,3,461324.75,3849.9,3854.79,8.82,Médio
2015,6,2015-06-01,Nordeste,PB,João Pessoa,Boa Vista,Casa,170,2,0,918528.44,8621.58,3515.37,8.28,Alto
2015,6,2015-06-01,Centro-Oeste,DF,Brasília,Centro,Sala Comercial,136,4,0,768169.71,11215.48,3384.73,10.84,Médio
2015,6,2015-06-01,Centro-Oeste,GO,Goiânia,Centro,Cobertura,67,4,0,457090.66,14789.45,2472.05,10.77,Luxo
